provider,origin_platform,country_code,year,chart_name,artist,chart_appearances,unique_tracks,best_rank,mean_rank,top10_appearances,top50_appearances,streams_sum,stream_observations,artist_rank
MGD,SPOTIFY,CR,2018,Top 200,Maroon 5,539,8,15,96.48423,0,238,2833763,539,23
MGD,SPOTIFY,CR,2018,Top 200,Luis Miguel,523,13,53,140.845124,0,0,1526834,523,24
MGD,SPOTIFY,CR,2018,Top 200,Wisin,509,4,13,85.255403,0,188,2665769,509,25
MGD,SPOTIFY,CR,2019,Top 200,Paulo Londra,2334,24,2,76.266067,265,987,18623037,2334,1
MGD,SPOTIFY,CR,2019,Top 200,Ed Sheeran,1777,18,4,111.320765,1,150,7576154,1777,2
MGD,SPOTIFY,CR,2019,Top 200,Sam Smith,1429,6,33,132.080476,0,38,5359119,1429,3
MGD,SPOTIFY,CR,2019,Top 200,Christian Nodal,1375,9,20,83.904,0,182,6889262,1375,4
MGD,SPOTIFY,CR,2019,Top 200,Ozuna,1360,14,2,104.603676,86,256,7429004,1360,5
MGD,SPOTIFY,CR,2019,Top 200,Bad Bunny,1282,10,1,91.829173,94,371,8102229,1282,6
MGD,SPOTIFY,CR,2019,Top 200,Queen,1136,9,27,105.622359,0,107,4879983,1136,7
MGD,SPOTIFY,CR,2019,Top 200,Manuel Turizo,1110,11,9,97.590991,60,256,6217754,1110,8
MGD,SPOTIFY,CR,2019,Top 200,Billie Eilish,1091,20,14,109.483043,0,164,5187776,1091,9
MGD,SPOTIFY,CR,2019,Top 200,Ariana Grande,1065,23,5,97.638498,33,316,6172859,1065,10
MGD,SPOTIFY,CR,2019,Top 200,Post Malone,967,25,41,115.607032,0,13,3926475,967,11
MGD,SPOTIFY,CR,2019,Top 200,Sebastian Yatra,930,9,17,124.466667,0,72,3743586,930,12
MGD,SPOTIFY,CR,2019,Top 200,Sech,832,9,15,98.090144,0,167,4103654,832,13
MGD,SPOTIFY,CR,2019,Top 200,Maluma,799,8,10,62.87985,8,450,6640069,799,14
MGD,SPOTIFY,CR,2019,Top 200,Danny Ocean,793,7,32,94.836066,0,73,3542263,793,15
MGD,SPOTIFY,CR,2019,Top 200,Piso 21,731,3,10,79.274966,6,178,4178995,731,16
MGD,SPOTIFY,CR,2019,Top 200,Imagine Dragons,711,3,41,113.886076,0,34,2988944,711,17
MGD,SPOTIFY,CR,2019,Top 200,Zion & Lennox,690,2,21,117.175362,0,71,2844696,690,18
MGD,SPOTIFY,CR,2019,Top 200,Dua Lipa,567,4,34,130.40388,0,55,2244304,567,19
MGD,SPOTIFY,CR,2019,Top 200,"J Balvin, Bad Bunny",503,6,2,40.908549,191,392,7412937,503,20
MGD,SPOTIFY,CR,2019,Top 200,Maroon 5,500,4,35,113.544,0,56,2120266,500,21
